,exclamations,commas,dots,questions,token_count,polarity,positive,negative,subjective,objective,spelling_errors,text_complexity,smog,nouns,verbs,adverbs,determiners,ad_count,domain_type,fb_shares,fb_like,linkedin_shares,alexa_rank,rating
955,0,0,2,0,18,1,1,,1,,0,2.8927900303521317,14.265292616868656,4,2,2,2,0,com,,,,2412,3
957,0,24,27,1,639,1,9,5,9,5,7,669.1603763526929,14.265292616868656,121,69,70,64,9,com,,,,9287,4
958,0,25,31,0,723,0,3,4,3,4,1,568.4581580529982,14.265292616868656,115,95,64,86,3,com,,,,8532,3
959,0,18,23,4,452,0,1,9,1,9,6,368.369587513801,14.265292616868656,77,47,34,49,3,com,,,,114514,3
961,0,222,131,1,3603,1,47,7,47,7,38,4250.457129461212,14.265292616868656,642,355,395,304,0,org,,,,12,3
962,0,2,2,0,58,1,1,,1,,0,39.918364886254174,14.265292616868656,8,8,2,3,1,org,1,,,761353,3
963,1,563,453,3,11931,1,128,26,128,26,89,15450.95828587406,14.265292616868656,2055,1159,1296,1132,0,org,,,,12,4
966,0,0,2,0,28,0,1,1,1,1,0,10.251199554084552,14.265292616868656,2,2,5,,0,com,,,,5270187,3
968,6,118,110,10,2465,1,26,7,26,7,39,2631.222160763578,14.265292616868656,373,297,196,169,0,com,,,,8252323,4
969,0,43,36,1,716,1,11,2,11,2,8,725.9078946489425,14.265292616868656,118,78,62,62,0,com,,,,480,4
971,0,2,5,0,76,0,,1,,1,0,36.840641658308776,14.265292616868656,11,7,8,10,3,org,,,,181041,3
973,0,55,33,2,923,1,9,2,9,2,2,833.1514665660414,14.265292616868656,146,94,93,102,0,com,,,,162,4
976,0,0,1,0,23,1,1,,1,,1,11.455319536740477,14.265292616868656,3,4,5,2,0,com,,,,1114,4
978,0,37,38,0,810,1,16,3,16,3,9,891.5171713196346,14.265292616868656,141,91,76,76,1,com,,,,64,4
979,0,36,36,1,840,0,7,7,7,7,4,946.2254307318954,14.265292616868656,169,99,79,76,7,com,,,,1645,4
981,0,1,0,0,13,1,1,,1,,0,4.668907502301862,14.265292616868656,5,,2,2,0,com,,,,1176346,2
982,2,31,17,1,492,1,7,,7,,1,419.6783153098707,14.265292616868656,125,49,54,45,1,com,,,,9806,4
983,0,4,4,0,53,0,,1,,1,3,24.8164799306237,14.265292616868656,5,7,5,2,5,com,,,,160808,3
987,0,57,58,0,1290,1,4,2,4,2,4,1224.0856516098238,14.265292616868656,240,149,151,183,14,com,,,,326984,4
989,0,13,10,0,249,1,7,2,7,2,3,196.6035634313572,14.265292616868656,59,22,28,23,3,com,,,,10093,4
991,0,16,31,1,596,0,6,9,6,9,1,496.4816575019742,14.265292616868656,113,87,58,49,3,com,,,,22506,3
996,2,35,29,0,554,1,10,5,10,5,8,532.2986139269959,14.265292616868656,93,59,67,47,0,com,,,,480,4
